x0,y0,name,elevation,inv_ele,max_depth,open,InitDepth,SurDepth,Aponded,routing
12710564.4276,2549933.8577,SMH4028659,35.65,32.05,3.6,1,0,0,1,1
12710536.6064,2549953.3163,SMH4028660,33.25,29.4,3.85,1,0,0,1,1
12710509.7757,2549972.8997,SMH4028661,29.27,25.67,3.6,1,0,0,1,1
12710502.8534,2549982.7232,SMH4028662,28.2,24.26,3.94,1,0,0,1,1
12710488.8153,2549999.9766,SMH4028663,25.65,21.74,3.91,1,0,0,1,1
12710475.4935,2550028.544,SMH4028664,23.44,19.84,3.6,1,0,0,1,1
12710388.0363,2549888.162,SMH4028614,22.58,18.98,3.6,1,0,0,1,1
12710386.2977,2549921.1166,SMH4028615,21.89,17.42,4.47,1,0,0,1,1
12710383.6814,2549944.544,SMH4028616,20.5,16.9,3.6,1,0,0,1,1
12710378.7028,2549966.019,SMH4028617,20.08,16.48,3.6,1,0,0,1,1
12710369.5119,2549991.6516,SMH4028618,19.49,15.89,3.6,1,0,0,1,1
12710362.9935,2550003.098,SMH4028619,19.3,15.68,3.62,1,0,0,1,1
12710366.3418,2550003.0573,SMH4028620,19.52,15.69,3.83,1,0,0,1,1
12710356.0936,2550023.8085,SMH4028621,18.66,15.03,3.63,1,0,0,1,1
12710337.111,2550059.0685,SMH4028623,16.65,13.05,3.6,1,0,0,1,1
12710207.4097,2550211.9273,SMH4028626,16.96,13.36,3.6,1,0,0,1,1
12710211.411,2550201.561,SMH4028627,16.17,12.57,3.6,1,0,0,1,1
12710199.147,2550174.1941,SMH4028628,15.97,12.36,3.61,1,0,0,1,1
12710231.6637,2550154.9169,SMH4028630,15.363,11.763,3.6,1,0,0,1,1
12710323.8283,2550057.0243,SMH4028644,18.76,15.16,3.6,1,0,0,1,1
12710373.3635,2550151.0239,SMH4028649,19.06,15.46,3.6,1,0,0,1,1
12710222.2408,2550001.3716,SMH4028519,37.77,34.17,3.6,1,0,0,1,1
12710174.0927,2549967.6674,SMH4028521,36.0,32.4,3.6,1,0,0,1,1
12710157.3893,2549967.3528,SMH4028522,34.44,30.84,3.6,1,0,0,1,1
12710141.24,2549956.1729,SMH4028523,32.61,29.01,3.6,1,0,0,1,1
12710123.6529,2549931.0741,SMH4028525,29.59,25.99,3.6,1,0,0,1,1
12710113.298,2549916.7542,SMH4028526,28.36,24.76,3.6,1,0,0,1,1
12710105.0637,2549904.0144,SMH4028527,27.07,21.63,5.44,1,0,0,1,1
